,params,mle,N,p_transition,offset,kappa
296,4.0_15.0_0.8_1.6_10.0,-13685.720538461535,4.0,0.8,15.0,1.6
297,3.6_12.0_1.0_2.0_10.0,-13670.801692307692,3.6,1.0,12.0,2.0
298,4.0_14.0_0.7_2.9_10.0,-13679.512115384614,4.0,0.7,14.0,2.9
299,3.4_15.0_0.5_2.9_10.0,-13729.613903846155,3.4,0.5,15.0,2.9
300,4.2_13.0_1.2_2.0_10.0,-13673.944769230768,4.2,1.2,13.0,2.0
301,4.2_15.0_1.0_1.6_10.0,-13678.536346153849,4.2,1.0,15.0,1.6
302,3.4_12.0_0.8_2.0_10.0,-13675.416615384618,3.4,0.8,12.0,2.0
303,3.0_11.0_1.0_1.6_10.0,-13675.034557692306,3.0,1.0,11.0,1.6
304,4.6_16.0_0.8_2.0_10.0,-13678.387,4.6,0.8,16.0,2.0
305,4.6_11.0_0.5_2.9_10.0,-13754.056076923076,4.6,0.5,11.0,2.9
306,3.0_17.0_1.2_2.0_10.0,-13801.523461538462,3.0,1.2,17.0,2.0
307,3.2_11.0_0.8_1.6_10.0,-13674.911711538463,3.2,0.8,11.0,1.6
308,4.4_16.0_1.0_2.0_10.0,-13684.541980769234,4.4,1.0,16.0,2.0
309,3.2_10.0_0.7_2.9_10.0,-13673.219576923077,3.2,0.7,10.0,2.9
310,4.4_10.0_1.2_1.6_10.0,-13730.465173076924,4.4,1.2,10.0,1.6
311,4.8_14.5_0.9_2.5_10.0,-13667.388903846153,4.8,0.9,14.5,2.5
312,3.2_9.0_1.2_2.0_10.0,-13673.893576923077,3.2,1.2,9.0,2.0
313,3.4_13.0_0.8_1.8_10.0,-13680.316115384618,3.4,0.8,13.0,1.8
314,3.4_12.0_0.7_2.7_10.0,-13678.224884615385,3.4,0.7,12.0,2.7
315,4.2_12.0_1.2_1.8_10.0,-13672.328653846153,4.2,1.2,12.0,1.8
316,4.2_17.5_1.4_2.5_10.0,-13767.408326923074,4.2,1.4,17.5,2.5
317,3.6_13.0_1.0_1.8_10.0,-13675.055480769228,3.6,1.0,13.0,1.8
318,4.0_13.0_0.5_2.7_10.0,-13684.089346153845,4.0,0.5,13.0,2.7
319,3.2_15.5_0.7_2.9_10.0,-13748.00621153846,3.2,0.7,15.5,2.9
320,4.4_13.5_1.0_2.0_10.0,-13667.378749999996,4.4,1.0,13.5,2.0
321,3.2_14.5_0.8_1.6_10.0,-13714.523038461539,3.2,0.8,14.5,1.6
322,4.4_15.5_1.2_1.6_10.0,-13688.54046153846,4.4,1.2,15.5,1.6
323,4.6_13.5_0.8_2.0_10.0,-13671.28357692308,4.6,0.8,13.5,2.0
324,3.0_14.5_1.0_1.6_10.0,-13725.879096153843,3.0,1.0,14.5,1.6
325,3.0_12.5_1.2_2.0_10.0,-13697.193230769231,3.0,1.2,12.5,2.0
326,4.6_14.5_0.5_2.9_10.0,-13682.236230769235,4.6,0.5,14.5,2.9
327,4.0_16.5_0.5_2.7_10.0,-13726.76830769231,4.0,0.5,16.5,2.7
328,3.4_17.5_0.7_2.7_10.0,-13788.727884615384,3.4,0.7,17.5,2.7
329,4.4_9.0_0.5_2.6_10.0,-13800.312000000002,4.4,0.5,9.0,2.6
330,4.2_12.0_1.4_2.5_10.0,-13685.937634615384,4.2,1.4,12.0,2.5
331,4.8_11.0_0.9_2.5_10.0,-13744.0275,4.8,0.9,11.0,2.5
332,4.2_12.5_1.0_2.4_10.0,-13666.276346153849,4.2,1.0,12.5,2.4
333,4.0_12.5_0.8_2.4_10.0,-13668.65809615385,4.0,0.8,12.5,2.4
334,3.6_13.5_1.2_2.4_10.0,-13697.18675,3.6,1.2,13.5,2.4
335,4.6_17.5_0.5_2.3_10.0,-13714.385923076925,4.6,0.5,17.5,2.3
336,3.2_16.5_0.7_2.3_10.0,-13774.282288461536,3.2,0.7,16.5,2.3
337,4.4_13.0_1.4_2.1_10.0,-13685.209923076922,4.4,1.4,13.0,2.1
338,3.8_11.0_1.3_2.1_10.0,-13678.117519230767,3.8,1.3,11.0,2.1
339,4.0_17.0_0.8_2.4_10.0,-13722.614134615384,4.0,0.8,17.0,2.4
340,3.6_16.0_1.2_2.4_10.0,-13743.430019230767,3.6,1.2,16.0,2.4
341,4.2_17.0_1.0_2.4_10.0,-13712.607615384613,4.2,1.0,17.0,2.4
342,3.8_14.5_1.3_2.1_10.0,-13708.102634615389,3.8,1.3,14.5,2.1
343,3.2_13.0_0.7_2.3_10.0,-13687.390596153844,3.2,0.7,13.0,2.3
344,4.4_16.5_1.4_2.1_10.0,-13724.378442307692,4.4,1.4,16.5,2.1
345,3.0_9.0_0.6_2.9_10.0,-13681.303384615383,3.0,0.6,9.0,2.9
346,4.6_12.0_0.5_2.3_10.0,-13716.30078846154,4.6,0.5,12.0,2.3
347,3.4_16.0_0.5_2.3_10.0,-13763.723442307692,3.4,0.5,16.0,2.3
348,3.6_12.5_1.4_2.1_10.0,-13704.570903846157,3.6,1.4,12.5,2.1
349,4.0_17.0_0.7_2.3_10.0,-13726.147307692307,4.0,0.7,17.0,2.3
350,4.8_17.5_0.6_2.8_10.0,-13697.058288461536,4.8,0.6,17.5,2.8
351,3.0_13.0_1.0_2.4_10.0,-13696.648480769229,3.0,1.0,13.0,2.4
352,4.2_9.0_0.7_2.8_10.0,-13767.497019230768,4.2,0.7,9.0,2.8
353,4.4_12.0_1.2_2.4_10.0,-13676.765115384615,4.4,1.2,12.0,2.4
354,3.2_13.0_0.8_2.4_10.0,-13685.047442307694,3.2,0.8,13.0,2.4
355,4.8_12.0_0.6_2.8_10.0,-13727.609596153847,4.8,0.6,12.0,2.8
356,3.6_17.0_1.4_2.1_10.0,-13783.882134615385,3.6,1.4,17.0,2.1
357,4.0_12.5_0.7_2.3_10.0,-13671.765538461537,4.0,0.7,12.5,2.3
358,3.4_13.5_0.5_2.3_10.0,-13700.514942307693,3.4,0.5,13.5,2.3
359,4.4_17.5_1.2_2.4_10.0,-13727.291153846154,4.4,1.2,17.5,2.4
360,3.2_16.5_0.8_2.4_10.0,-13768.17726923077,3.2,0.8,16.5,2.4
361,3.0_16.5_1.0_2.4_10.0,-13781.85190384615,3.0,1.0,16.5,2.4
362,4.4_15.5_1.1_2.9_10.0,-13697.039519230768,4.4,1.1,15.5,2.9
363,3.2_13.5_0.6_2.0_10.0,-13702.184480769232,3.2,0.6,13.5,2.0
364,3.0_14.5_1.3_2.9_10.0,-13771.741,3.0,1.3,14.5,2.9
365,4.6_15.5_0.9_2.9_10.0,-13683.266365384612,4.6,0.9,15.5,2.9
366,4.6_14.5_0.6_1.6_10.0,-13683.382596153844,4.6,0.6,14.5,1.6
367,3.8_12.0_1.0_1.4_10.0,-13670.775923076922,3.8,1.0,12.0,1.4
368,3.8_14.0_1.2_2.2_10.0,-13693.605153846149,3.8,1.2,14.0,2.2
369,4.8_10.0_0.5_2.5_10.0,-13805.862596153846,4.8,0.5,10.0,2.5
370,3.6_16.5_1.3_2.7_10.0,-13775.982,3.6,1.3,16.5,2.7
371,4.0_17.5_0.9_2.7_10.0,-13740.442807692305,4.0,0.9,17.5,2.7
372,4.2_17.5_1.1_2.7_10.0,-13738.366942307692,4.2,1.1,17.5,2.7
373,3.8_11.5_1.2_2.2_10.0,-13671.26817307692,3.8,1.2,11.5,2.2
374,3.0_11.0_1.3_2.9_10.0,-13707.79215384615,3.0,1.3,11.0,2.9
375,4.6_11.0_0.6_1.6_10.0,-13756.302057692308,4.6,0.6,11.0,1.6
376,4.6_10.0_0.9_2.9_10.0,-13758.075288461538,4.6,0.9,10.0,2.9
377,3.2_16.0_0.6_2.0_10.0,-13771.944153846152,3.2,0.6,16.0,2.0
378,4.4_10.0_1.1_2.9_10.0,-13729.439711538464,4.4,1.1,10.0,2.9
379,4.2_12.0_1.1_2.7_10.0,-13674.064480769233,4.2,1.1,12.0,2.7
380,3.6_13.0_1.3_2.7_10.0,-13705.646307692308,3.6,1.3,13.0,2.7
381,4.0_13.0_0.6_1.8_10.0,-13682.783884615386,4.0,0.6,13.0,1.8
382,4.0_12.0_0.9_2.7_10.0,-13666.87075,4.0,0.9,12.0,2.7
383,4.8_15.5_0.5_2.5_10.0,-13687.052153846158,4.8,0.5,15.5,2.5
384,3.8_15.0_1.4_2.7_10.0,-13740.833711538462,3.8,1.4,15.0,2.7
385,3.2_16.0_0.9_2.7_10.0,-13757.262961538463,3.2,0.9,16.0,2.7
386,4.4_17.0_1.3_2.7_10.0,-13736.943576923075,4.4,1.3,17.0,2.7
387,3.0_16.0_1.1_2.7_10.0,-13780.6355,3.0,1.1,16.0,2.7
388,4.0_12.0_0.6_2.0_10.0,-13680.006596153846,4.0,0.6,12.0,2.0
389,3.6_14.0_1.1_2.9_10.0,-13705.262096153847,3.6,1.1,14.0,2.9
390,3.4_15.0_0.6_1.6_10.0,-13728.661480769228,3.4,0.6,15.0,1.6
391,3.4_14.0_0.9_2.9_10.0,-13699.173326923077,3.4,0.9,14.0,2.9
392,4.2_15.0_1.3_2.9_10.0,-13717.69901923077,4.2,1.3,15.0,2.9
393,4.8_13.5_0.8_1.4_10.0,-13681.11178846154,4.8,0.8,13.5,1.4
394,3.0_13.5_1.1_2.7_10.0,-13717.889923076924,3.0,1.1,13.5,2.7
395,3.2_13.5_0.9_2.7_10.0,-13696.536653846153,3.2,0.9,13.5,2.7
396,3.2_12.5_0.6_1.8_10.0,-13691.246749999998,3.2,0.6,12.5,1.8
397,4.4_12.5_1.3_2.7_10.0,-13681.513461538458,4.4,1.3,12.5,2.7
398,3.8_10.5_1.4_2.7_10.0,-13687.466846153846,3.8,1.4,10.5,2.7
399,4.8_16.0_0.8_1.4_10.0,-13682.980730769232,4.8,0.8,16.0,1.4
400,3.4_11.5_0.9_2.9_10.0,-13674.663192307693,3.4,0.9,11.5,2.9
401,3.4_10.5_0.6_1.6_10.0,-13686.320134615384,3.4,0.6,10.5,1.6
402,3.6_9.0_0.7_1.8_10.0,-13716.480865384614,3.6,0.7,9.0,1.8
403,4.2_10.5_1.3_2.9_10.0,-13698.248250000002,4.2,1.3,10.5,2.9
404,3.6_11.5_1.1_2.9_10.0,-13679.184596153847,3.6,1.1,11.5,2.9
405,4.0_17.5_0.6_2.0_10.0,-13751.250346153847,4.0,0.6,17.5,2.0
406,4.4_11.0_0.5_2.6_10.0,-13732.789038461538,4.4,0.5,11.0,2.6
407,3.0_10.0_0.7_2.6_10.0,-13671.630173076921,3.0,0.7,10.0,2.6
408,4.6_15.5_1.4_2.4_10.0,-13714.703923076922,4.6,1.4,15.5,2.4
409,4.2_9.5_1.4_2.1_10.0,-13722.654500000002,4.2,1.4,9.5,2.1
410,3.6_12.0_0.7_2.8_10.0,-13674.20053846154,3.6,0.7,12.0,2.8
411,4.0_14.0_1.0_2.1_10.0,-13676.331788461539,4.0,1.0,14.0,2.1
412,4.2_14.0_0.8_2.1_10.0,-13674.671615384616,4.2,0.8,14.0,2.1
413,3.4_15.0_1.2_2.1_10.0,-13725.37178846154,3.4,1.2,15.0,2.1
414,4.2_13.0_0.5_2.8_10.0,-13682.969307692305,4.2,0.5,13.0,2.8
415,3.0_15.5_0.7_2.6_10.0,-13761.493096153847,3.0,0.7,15.5,2.6
416,4.6_10.0_1.4_2.4_10.0,-13739.227153846154,4.6,1.4,10.0,2.4
417,4.4_14.5_0.5_2.6_10.0,-13687.882653846154,4.4,0.5,14.5,2.6
418,4.2_11.5_0.8_2.1_10.0,-13679.519692307695,4.2,0.8,11.5,2.1
419,4.2_16.5_0.5_2.8_10.0,-13714.583384615386,4.2,0.5,16.5,2.8
420,3.4_10.5_1.2_2.1_10.0,-13672.556442307694,3.4,1.2,10.5,2.1
421,4.0_11.5_1.0_2.1_10.0,-13671.051557692308,4.0,1.0,11.5,2.1
422,3.6_17.5_0.7_2.8_10.0,-13773.747403846153,3.6,0.7,17.5,2.8
423,3.2_15.5_1.0_2.1_10.0,-13739.281576923075,3.2,1.0,15.5,2.1
424,4.4_13.5_0.7_2.8_10.0,-13671.898884615384,4.4,0.7,13.5,2.8
425,3.0_12.5_0.5_2.8_10.0,-13699.505865384617,3.0,0.5,12.5,2.8
426,4.6_14.5_1.2_2.1_10.0,-13677.573288461539,4.6,1.2,14.5,2.1
427,3.0_15.5_0.8_2.1_10.0,-13754.803403846154,3.0,0.8,15.5,2.1
428,3.6_10.5_0.5_2.6_10.0,-13690.655538461539,3.6,0.5,10.5,2.6
429,3.4_14.0_1.4_2.4_10.0,-13733.85992307692,3.4,1.4,14.0,2.4
430,4.2_11.5_0.7_2.6_10.0,-13683.137134615388,4.2,0.7,11.5,2.6
431,4.8_16.0_1.3_2.4_10.0,-13704.017711538461,4.8,1.3,16.0,2.4
432,4.6_11.0_1.2_2.1_10.0,-13719.80203846154,4.6,1.2,11.0,2.1
433,3.0_17.0_0.5_2.8_10.0,-13829.200057692306,3.0,0.5,17.0,2.8
434,3.0_10.0_0.8_2.1_10.0,-13668.996923076924,3.0,0.8,10.0,2.1
435,4.4_16.0_0.7_2.8_10.0,-13688.329211538461,4.4,0.7,16.0,2.8
436,3.2_10.0_1.0_2.1_10.0,-13667.547730769233,3.2,1.0,10.0,2.1
437,3.2_9.0_0.5_2.8_10.0,-13694.355961538464,3.2,0.5,9.0,2.8
438,4.8_13.5_1.3_2.4_10.0,-13678.301365384616,4.8,1.3,13.5,2.4
439,3.4_11.5_1.4_2.4_10.0,-13701.08003846154,3.4,1.4,11.5,2.4
440,4.2_14.0_0.7_2.6_10.0,-13678.031615384618,4.2,0.7,14.0,2.6
441,3.6_15.0_0.5_2.6_10.0,-13716.210038461539,3.6,0.5,15.0,2.6
442,4.8_11.5_1.0_2.9_10.0,-13726.757442307691,4.8,1.0,11.5,2.9
443,4.8_12.0_1.4_2.2_10.0,-13701.674653846156,4.8,1.4,12.0,2.2
444,3.4_10.0_1.3_2.2_10.0,-13678.04053846154,3.4,1.3,10.0,2.2
445,3.4_16.0_1.1_1.4_10.0,-13743.592057692305,3.4,1.1,16.0,1.4
446,4.2_11.0_0.9_2.2_10.0,-13687.947807692308,4.2,0.9,11.0,2.2
447,3.6_16.0_0.9_1.4_10.0,-13726.03925,3.6,0.9,16.0,1.4
448,4.0_11.0_1.1_2.2_10.0,-13672.959942307692,4.0,1.1,11.0,2.2
449,3.0_15.0_0.6_2.5_10.0,-13753.646596153847,3.0,0.6,15.0,2.5
450,4.0_12.5_1.3_1.4_10.0,-13680.569961538462,4.0,1.3,12.5,1.4
451,4.0_14.5_1.1_2.2_10.0,-13685.760807692308,4.0,1.1,14.5,2.2
452,3.6_13.5_0.9_1.4_10.0,-13681.644019230771,3.6,0.9,13.5,1.4
453,3.4_15.5_1.3_2.2_10.0,-13750.566615384614,3.4,1.3,15.5,2.2
454,4.2_14.5_0.9_2.2_10.0,-13674.384250000001,4.2,0.9,14.5,2.2
455,3.4_13.5_1.1_1.4_10.0,-13690.252903846153,3.4,1.1,13.5,1.4
456,4.8_14.0_1.0_2.9_10.0,-13672.173846153844,4.8,1.0,14.0,2.9
457,4.8_17.5_1.4_2.2_10.0,-13728.382788461538,4.8,1.4,17.5,2.2
458,3.0_10.5_0.6_2.5_10.0,-13679.372980769229,3.0,0.6,10.5,2.5
459,4.2_14.5_0.6_2.5_10.0,-13682.742403846156,4.2,0.6,14.5,2.5
460,4.8_13.0_1.2_2.7_10.0,-13681.090557692307,4.8,1.2,13.0,2.7
461,3.8_17.0_0.5_2.0_10.0,-13764.566326923079,3.8,0.5,17.0,2.0
462,3.8_10.0_0.8_2.9_10.0,-13689.709923076925,3.8,0.8,10.0,2.9
463,3.8_11.0_0.7_1.6_10.0,-13685.093269230769,3.8,0.7,11.0,1.6
464,3.0_10.5_0.9_2.2_10.0,-13670.605269230766,3.0,0.9,10.5,2.2
465,4.6_11.5_1.3_2.2_10.0,-13701.22419230769,4.6,1.3,11.5,2.2
466,3.0_9.0_1.4_2.3_10.0,-13686.306173076924,3.0,1.4,9.0,2.3
467,3.2_10.5_1.1_2.2_10.0,-13671.156711538464,3.2,1.1,10.5,2.2
468,4.8_16.5_1.2_2.7_10.0,-13701.776115384615,4.8,1.2,16.5,2.7
469,4.2_11.0_0.6_2.5_10.0,-13703.29740384615,4.2,0.6,11.0,2.5
470,4.4_12.0_0.9_1.4_10.0,-13681.456923076923,4.4,0.9,12.0,1.4
471,3.2_15.0_1.1_2.2_10.0,-13732.456538461538,3.2,1.1,15.0,2.2
472,3.2_13.0_1.3_1.4_10.0,-13704.474711538463,3.2,1.3,13.0,1.4
473,4.6_12.0_1.1_1.4_10.0,-13690.154692307695,4.6,1.1,12.0,1.4
474,3.0_15.0_0.9_2.2_10.0,-13739.58473076923,3.0,0.9,15.0,2.2
475,4.6_14.0_1.3_2.2_10.0,-13681.25,4.6,1.3,14.0,2.2
476,3.8_12.5_0.5_2.0_10.0,-13688.759173076922,3.8,0.5,12.5,2.0
477,3.8_14.5_0.7_1.6_10.0,-13690.97482692308,3.8,0.7,14.5,1.6
478,3.8_15.5_0.8_2.9_10.0,-13704.635923076925,3.8,0.8,15.5,2.9
479,4.8_11.0_1.3_2.5_10.0,-13729.694749999999,4.8,1.3,11.0,2.5
480,3.6_17.5_0.5_2.7_10.0,-13792.872461538464,3.6,0.5,17.5,2.7
481,4.2_16.5_0.7_2.7_10.0,-13702.854307692307,4.2,0.7,16.5,2.7
482,3.6_9.0_1.1_2.0_10.0,-13694.398096153845,3.6,1.1,9.0,2.0
483,3.4_13.0_1.4_2.5_10.0,-13720.612596153844,3.4,1.4,13.0,2.5
484,4.4_14.5_0.7_2.9_10.0,-13677.454980769233,4.4,0.7,14.5,2.9
485,4.4_15.5_0.8_1.6_10.0,-13680.420519230767,4.4,0.8,15.5,1.6
486,3.2_12.5_1.0_2.0_10.0,-13680.883346153849,3.2,1.0,12.5,2.0
487,3.2_14.5_1.2_1.6_10.0,-13722.411230769228,3.2,1.2,14.5,1.6
488,4.6_15.5_1.0_1.6_10.0,-13679.027307692308,4.6,1.0,15.5,1.6
489,3.0_12.5_0.8_2.0_10.0,-13684.591326923079,3.0,0.8,12.5,2.0
490,4.6_13.5_1.2_2.0_10.0,-13671.982346153845,4.6,1.2,13.5,2.0
491,3.0_15.5_0.5_2.9_10.0,-13779.517134615386,3.0,0.5,15.5,2.9
492,3.8_13.0_0.6_1.4_10.0,-13692.760423076923,3.8,0.6,13.0,1.4
493,4.2_12.0_0.8_1.8_10.0,-13677.597269230768,4.2,0.8,12.0,1.8
494,4.2_13.0_0.7_2.7_10.0,-13672.042903846157,4.2,0.7,13.0,2.7
495,3.4_16.5_1.4_2.5_10.0,-13795.291288461536,3.4,1.4,16.5,2.5
496,3.4_13.0_1.2_1.8_10.0,-13690.041538461537,3.4,1.2,13.0,1.8
497,4.0_12.0_1.0_1.8_10.0,-13665.88690384615,4.0,1.0,12.0,1.8
498,3.6_12.0_0.5_2.7_10.0,-13685.094076923076,3.6,0.5,12.0,2.7
499,4.0_9.0_0.6_2.6_10.0,-13763.421134615382,4.0,0.6,9.0,2.6
500,3.2_9.0_0.8_2.0_10.0,-13679.91394230769,3.2,0.8,9.0,2.0
501,4.8_14.5_1.3_2.5_10.0,-13682.99325,4.8,1.3,14.5,2.5
502,3.0_17.0_0.8_2.0_10.0,-13798.694653846156,3.0,0.8,17.0,2.0
503,4.6_10.0_1.0_1.6_10.0,-13758.930826923073,4.6,1.0,10.0,1.6
504,3.0_10.0_0.5_2.9_10.0,-13682.790653846156,3.0,0.5,10.0,2.9
505,4.6_16.0_1.2_2.0_10.0,-13690.623076923077,4.6,1.2,16.0,2.0
506,3.2_17.0_1.0_2.0_10.0,-13777.373653846153,3.2,1.0,17.0,2.0
507,4.4_10.0_0.8_1.6_10.0,-13750.657519230768,4.4,0.8,10.0,1.6
508,4.4_11.0_0.7_2.9_10.0,-13716.24117307692,4.4,0.7,11.0,2.9
509,3.2_11.0_1.2_1.6_10.0,-13679.55423076923,3.2,1.2,11.0,1.6
510,4.0_15.0_1.2_1.6_10.0,-13694.709519230768,4.0,1.2,15.0,1.6
511,4.0_13.0_1.0_2.0_10.0,-13670.016788461538,4.0,1.0,13.0,2.0
512,3.6_14.0_0.8_1.6_10.0,-13686.248134615384,3.6,0.8,14.0,1.6
513,3.6_15.0_0.7_2.9_10.0,-13705.789653846152,3.6,0.7,15.0,2.9
514,4.2_14.0_0.5_2.9_10.0,-13687.613519230768,4.2,0.5,14.0,2.9
515,3.4_12.0_1.2_2.0_10.0,-13685.98548076923,3.4,1.2,12.0,2.0
516,4.2_13.0_0.8_2.0_10.0,-13669.133653846155,4.2,0.8,13.0,2.0
517,3.4_14.0_1.0_1.6_10.0,-13691.510846153844,3.4,1.0,14.0,1.6
518,3.2_9.0_0.7_2.7_10.0,-13681.53775,3.2,0.7,9.0,2.7
519,4.0_9.0_0.9_2.1_10.0,-13746.65732692308,4.0,0.9,9.0,2.1
520,4.6_9.5_0.6_1.4_10.0,-13807.309173076921,4.6,0.6,9.5,1.4
521,4.4_16.0_0.5_2.7_10.0,-13697.650730769228,4.4,0.5,16.0,2.7
522,4.8_9.5_1.1_2.1_10.0,-13801.970096153847,4.8,1.1,9.5,2.1
523,3.2_16.0_1.0_1.8_10.0,-13751.486134615381,3.2,1.0,16.0,1.8
524,4.6_12.5_1.4_2.5_10.0,-13686.788903846154,4.6,1.4,12.5,2.5
525,3.0_16.0_0.8_1.8_10.0,-13770.363807692309,3.0,0.8,16.0,1.8
526,3.0_17.0_0.7_2.7_10.0,-13806.02078846154,3.0,0.7,17.0,2.7
527,4.4_9.0_1.0_2.1_10.0,-13774.331134615382,4.4,1.0,9.0,2.1
528,3.4_17.5_1.2_2.0_10.0,-13786.297000000002,3.4,1.2,17.5,2.0
529,4.2_11.5_0.5_2.9_10.0,-13695.327576923077,4.2,0.5,11.5,2.9
530,3.4_11.5_1.0_1.6_10.0,-13671.823807692308,3.4,1.0,11.5,1.6
531,4.2_16.5_0.8_2.0_10.0,-13698.104769230771,4.2,0.8,16.5,2.0
532,4.0_10.5_1.2_1.6_10.0,-13684.122153846152,4.0,1.2,10.5,1.6
533,3.6_10.5_0.7_2.9_10.0,-13677.75628846154,3.6,0.7,10.5,2.9
534,3.6_11.5_0.8_1.6_10.0,-13672.93857692308,3.6,0.8,11.5,1.6
535,4.0_16.5_1.0_2.0_10.0,-13709.061365384612,4.0,1.0,16.5,2.0
536,4.6_12.5_1.2_1.8_10.0,-13676.325749999998,4.6,1.2,12.5,1.8
537,4.6_17.0_1.4_2.5_10.0,-13734.952307692305,4.6,1.4,17.0,2.5
538,3.0_12.5_0.7_2.7_10.0,-13688.868461538465,3.0,0.7,12.5,2.7
539,3.0_13.5_0.8_1.8_10.0,-13700.804673076926,3.0,0.8,13.5,1.8
540,4.4_13.5_0.5_2.7_10.0,-13682.523884615382,4.4,0.5,13.5,2.7
541,3.2_13.5_1.0_1.8_10.0,-13691.60546153846,3.2,1.0,13.5,1.8
542,4.6_16.5_1.3_2.3_10.0,-13711.803115384615,4.6,1.3,16.5,2.3
543,3.0_17.5_0.9_2.3_10.0,-13807.297461538463,3.0,0.9,17.5,2.3
544,3.2_17.5_1.1_2.3_10.0,-13797.427250000004,3.2,1.1,17.5,2.3
545,3.4_9.0_0.6_1.6_10.0,-13708.32396153846,3.4,0.6,9.0,1.6
546,3.8_17.0_0.8_2.8_10.0,-13742.174961538458,3.8,0.8,17.0,2.8
547,3.8_10.0_0.5_2.1_10.0,-13712.451211538466,3.8,0.5,10.0,2.1
548,4.0_9.5_0.7_2.5_10.0,-13735.167634615385,4.0,0.7,9.5,2.5
549,3.2_9.5_0.9_2.3_10.0,-13671.653423076923,3.2,0.9,9.5,2.3
550,4.8_14.0_1.2_2.6_10.0,-13677.120634615389,4.8,1.2,14.0,2.6
551,4.2_13.5_0.6_2.4_10.0,-13678.534634615386,4.2,0.6,13.5,2.4
552,3.8_12.5_0.8_2.8_10.0,-13672.412134615386,3.8,0.8,12.5,2.8
553,3.8_15.5_0.5_2.1_10.0,-13719.048980769227,3.8,0.5,15.5,2.1
554,3.2_12.0_1.1_2.3_10.0,-13683.469442307689,3.2,1.1,12.0,2.3
555,4.6_13.0_1.3_2.3_10.0,-13677.337442307693,4.6,1.3,13.0,2.3
556,3.0_12.0_0.9_2.3_10.0,-13680.375923076923,3.0,0.9,12.0,2.3
557,3.6_9.5_1.0_2.3_10.0,-13683.203826923078,3.6,1.0,9.5,2.3
558,4.2_16.0_0.6_2.4_10.0,-13698.621538461539,4.2,0.6,16.0,2.4
559,3.8_9.5_0.7_1.6_10.0,-13718.397519230768,3.8,0.7,9.5,1.6
560,4.8_11.5_1.2_2.6_10.0,-13720.724826923077,4.8,1.2,11.5,2.6
561,3.0_12.0_0.6_2.4_10.0,-13688.003903846151,3.0,0.6,12.0,2.4
562,4.2_16.0_0.9_2.3_10.0,-13690.252826923075,4.2,0.9,16.0,2.3
563,4.4_9.5_1.1_2.2_10.0,-13748.111596153847,4.4,1.1,9.5,2.2
564,3.4_17.0_1.3_2.3_10.0,-13789.215942307692,3.4,1.3,17.0,2.3
565,4.0_16.0_1.1_2.3_10.0,-13708.57303846154,4.0,1.1,16.0,2.3
566,4.8_15.0_1.4_2.3_10.0,-13696.38523076923,4.8,1.4,15.0,2.3
567,4.8_16.5_1.0_2.8_10.0,-13687.891961538462,4.8,1.0,16.5,2.8
568,4.8_9.0_1.0_2.2_10.0,-13851.256307692309,4.8,1.0,9.0,2.2
569,3.0_17.5_0.6_2.4_10.0,-13832.023653846154,3.0,0.6,17.5,2.4
570,3.2_9.5_0.6_2.4_10.0,-13683.655403846155,3.2,0.6,9.5,2.4
571,4.0_9.5_0.8_2.2_10.0,-13731.38073076923,4.0,0.8,9.5,2.2
572,4.8_10.5_1.4_2.3_10.0,-13744.401576923077,4.8,1.4,10.5,2.3
573,4.8_13.0_1.0_2.8_10.0,-13677.852230769231,4.8,1.0,13.0,2.8
574,4.0_13.5_1.1_2.3_10.0,-13681.585076923078,4.0,1.1,13.5,2.3
575,4.2_13.5_0.9_2.3_10.0,-13669.44098076923,4.2,0.9,13.5,2.3
576,3.4_12.5_1.3_2.3_10.0,-13697.894615384615,3.4,1.3,12.5,2.3
577,3.0_14.0_1.0_2.5_10.0,-13719.441903846155,3.0,1.0,14.0,2.5
578,3.2_14.0_0.8_2.5_10.0,-13701.715596153845,3.2,0.8,14.0,2.5
579,4.4_15.0_1.2_2.5_10.0,-13694.668326923074,4.4,1.2,15.0,2.5
580,3.8_12.5_1.3_1.8_10.0,-13684.850576923076,3.8,1.3,12.5,1.8
581,4.8_11.5_0.9_1.6_10.0,-13735.648019230768,4.8,0.9,11.5,1.6
582,4.8_10.5_0.6_2.9_10.0,-13775.514749999995,4.8,0.6,10.5,2.9
583,3.4_11.0_0.5_2.2_10.0,-13685.553538461538,3.4,0.5,11.0,2.2
584,4.0_10.0_0.7_2.2_10.0,-13715.037538461536,4.0,0.7,10.0,2.2
585,3.6_15.5_1.4_2.0_10.0,-13744.259134615384,3.6,1.4,15.5,2.0
586,4.6_9.0_1.3_2.0_10.0,-13796.023846153847,4.6,1.3,9.0,2.0
587,3.2_11.5_0.8_2.5_10.0,-13674.838423076922,3.2,0.8,11.5,2.5
588,4.4_10.5_1.2_2.5_10.0,-13718.25067307692,4.4,1.2,10.5,2.5
589,3.0_11.5_1.0_2.5_10.0,-13679.975076923078,3.0,1.0,11.5,2.5
590,4.0_15.5_0.7_2.2_10.0,-13693.883923076924,4.0,0.7,15.5,2.2
591,3.6_10.0_1.4_2.0_10.0,-13680.28669230769,3.6,1.4,10.0,2.0
592,3.4_12.5_0.7_1.4_10.0,-13685.796423076923,3.4,0.7,12.5,1.4
593,3.4_14.5_0.5_2.2_10.0,-13718.64638461539,3.4,0.5,14.5,2.2
